DIVIPOLA,Municipio,Departamento,abstencion_2018,margen_2018,abstencion_2022,margen_2022,margen_2026,tasa_nulos_2026,IPM_2018,total_victimas,Amenaza,Desplazamiento forzado,Homicidio,abstencion_prom,margen_prom,abstencion_prom_norm,margen_prom_norm,IPM_2018_norm,total_victimas_norm,tasa_nulos_2026_norm,indice_fragilidad,nivel_riesgo,cluster,perfil_cluster
18753,SAN VICENTE DEL CAGUAN,CAQUETÁ,0.5941812642802742,0.2631703097971379,0.5709965781585719,0.13334192218500387,,0.06022530329289428,56.3,14273,5060,7278,1935,0.5825889212194231,0.1982561159910709,0.4862594935439402,0.22631491338685877,0.5636561479869422,0.34524299088028254,0.15720871066501552,62.27,Alto,0,Fragilidad Muy Alta
18205,CURILLO,CAQUETÁ,0.6437895303458485,0.4736006351726876,0.6427550357374919,0.3704682779456193,,0.06022530329289428,55.4,11006,1634,7026,2346,0.6432722830416702,0.42203445655915345,0.5740352085427327,0.48575134097447265,0.5538628944504896,0.2662135029874937,0.15720871066501552,71.08,Alto,0,Fragilidad Muy Alta
18460,MILAN,CAQUETÁ,0.7002476013618075,0.24049276914836637,0.6570359281437126,0.04504906333630687,,0.06022530329289428,64.6,8825,1927,5468,1430,0.6786417647527601,0.14277091624233662,0.6251955505722584,0.16198839291014946,0.6539717083786724,0.21345460702968141,0.15720871066501552,65.13,Alto,0,Fragilidad Muy Alta
18479,MORELIA,CAQUETÁ,0.5362554112554112,0.5030229746070133,0.5689320388349515,0.3499709808473593,,0.06022530329289428,42.4,4716,449,3714,553,0.5525937250451813,0.4264969777271863,0.44287281041265264,0.4909249451174363,0.41240478781284,0.11405694380609109,0.15720871066501552,55.61,Alto,2,Fragilidad Media
18610,SAN JOSE DEL FRAGUA,CAQUETÁ,0.5226097480470899,0.28626974483596596,0.5140278595252109,0.20230125523012552,,0.06022530329289428,48.7,10009,2327,5935,1747,0.5183188037861504,0.24428550003304572,0.3932957001521626,0.27967887582215584,0.4809575625680087,0.24209584169912188,0.15720871066501552,53.72,Alto,2,Fragilidad Media
18756,SOLANO,CAQUETÁ,0.7622314263525757,0.12456344586728754,0.7191183404054691,0.20052654673102238,,0.06022530329289428,71.9,11049,2461,7517,1071,0.7406748833790224,0.16254499629915498,0.7149236272232278,0.18491338500611884,0.7334058759521218,0.26725368296281965,0.15720871066501552,74.28,Alto,0,Fragilidad Muy Alta
18785,SOLITA,CAQUETÁ,0.6796203438395415,0.42391984971822166,0.6629667003027245,0.4273012552301255,,0.06022530329289428,58.1,8954,1247,6258,1449,0.671293522071133,0.42561055247417356,0.6145666526998272,0.4898972719280594,0.5832426550598476,0.2165751469556593,0.15720871066501552,72.41,Alto,0,Fragilidad Muy Alta
18860,VALPARAISO,CAQUETÁ,0.6387813499410874,0.40979631425800195,0.6032781401572169,0.44057466260339573,,0.06022530329289428,50.0,9633,1326,6524,1783,0.6210297450491522,0.4251854884306988,0.5418623918586492,0.4894044758126932,0.49510337323177356,0.23300031447301578,0.15720871066501552,66.54,Alto,0,Fragilidad Muy Alta
85001,YOPAL,CASANARE,0.32675452597017646,0.23707334735200322,0.33340445611587544,0.3520248437833964,,0.06022530329289428,22.9,6841,1334,3876,1631,0.3300794910430259,0.2945490955676998,0.1210161202022656,0.33795175258992344,0.2002176278563656,0.16546118677278115,0.15720871066501552,31.2,Medio,3,Fragilidad Baja
85010,AGUAZUL,CASANARE,0.2873134328358209,0.3430865394977907,0.29360555497979063,0.452697967764541,,0.06022530329289428,27.0,7119,843,3839,2437,0.2904594939078058,0.39789225363116587,0.06370760148537563,0.4577621849827347,0.24483133841131666,0.17218607126442342,0.15720871066501552,34.72,Medio,3,Fragilidad Baja
85015,CHAMEZA,CASANARE,0.32434052757793763,0.5144927536231884,0.32100108813928185,0.5012165450121655,,0.06022530329289428,36.0,2750,132,2354,264,0.32267080785860974,0.507854649317677,0.11029979789934974,0.5852466011843315,0.3427638737758433,0.06649894772490868,0.15720871066501552,41.14,Medio,1,Fragilidad Alta
85125,HATO COROZAL,CASANARE,0.40294362677034157,0.6514000949216896,0.44423816469964195,0.501453488372093,,0.06022530329289428,56.1,5786,660,4230,896,0.42359089573499176,0.5764267916468913,0.2562761018661291,0.6647454105541698,0.5614798694232861,0.13994049202931855,0.15720871066501552,60.45,Alto,1,Fragilidad Alta
85136,LA SALINA,CASANARE,0.4030612244897959,0.18777292576419213,0.4399551066217733,0.34810126582278483,,0.06022530329289428,48.1,667,108,456,103,0.42150816555578463,0.26793709579348846,0.2532635276589689,0.3070992485680551,0.4744287268770402,0.01611069450156027,0.15720871066501552,41.61,Medio,2,Fragilidad Media
